person,matchup_id,description,team1,team2,pick,games
Aaron,west_r1_avs_kings,West R1: Avalanche vs Kings,Avalanche,Kings,Avalanche,6
Aaron,west_r1_stars_wild,West R1: Stars vs Wild,Stars,Wild,Stars,6
Aaron,west_r1_gk_mammoth,West R1: Golden Knights vs Mammoth,Golden Knights,Mammoth,Golden Knights,6
Aaron,west_r1_oilers_ducks,West R1: Oilers vs Ducks,Oilers,Ducks,Oilers,6
Aaron,west_r2_upper,West R2 (Avs/Kings vs Stars/Wild winner),Avalanche,Stars,Avalanche,6
Aaron,west_r2_lower,West R2 (GK/Mammoth vs Oilers/Ducks winner),Golden Knights,Oilers,Golden Knights,6
Aaron,west_r3,West Conference Final,Avalanche,Golden Knights,Avalanche,6
Aaron,east_r1_buf_bos,East R1: Buffalo vs Bruins,Buffalo,Bruins,Bruins,6
Aaron,east_r1_tbl_mtl,East R1: Lightning vs Canadiens,Lightning,Canadiens,Lightning,6
Aaron,east_r1_car_ott,East R1: Hurricanes vs Senators,Hurricanes,Senators,Hurricanes,6
Aaron,east_r1_pit_phi,East R1: Penguins vs Flyers,Penguins,Flyers,Flyers,6
Aaron,east_r2_upper,East R2 (Buf/Bos vs TBL/MTL winner),Bruins,Lightning,Lightning,6
Aaron,east_r2_lower,East R2 (CAR/OTT vs PIT/PHI winner),Hurricanes,Flyers,Hurricanes,6
Aaron,east_r3,East Conference Final,Lightning,Hurricanes,Lightning,6
Aaron,cup,Stanley Cup Final,Avalanche,Lightning,Avalanche,6
Eric,west_r1_avs_kings,West R1: Avalanche vs Kings,Avalanche,Kings,Avalanche,6
Eric,west_r1_stars_wild,West R1: Stars vs Wild,Stars,Wild,Wild,5
Eric,west_r1_gk_mammoth,West R1: Golden Knights vs Mammoth,Golden Knights,Mammoth,Golden Knights,6
Eric,west_r1_oilers_ducks,West R1: Oilers vs Ducks,Oilers,Ducks,Oilers,6
Eric,west_r2_upper,West R2 (Avs/Kings vs Stars/Wild winner),Avalanche,Wild,Wild,7
Eric,west_r2_lower,West R2 (GK/Mammoth vs Oilers/Ducks winner),Golden Knights,Oilers,Oilers,7
Eric,west_r3,West Conference Final,Oilers,Wild,Wild,7
Eric,east_r1_buf_bos,East R1: Buffalo vs Bruins,Buffalo,Bruins,Buffalo,7
Eric,east_r1_tbl_mtl,East R1: Lightning vs Canadiens,Lightning,Canadiens,Canadiens,6
Eric,east_r1_car_ott,East R1: Hurricanes vs Senators,Hurricanes,Senators,Hurricanes,5
Eric,east_r1_pit_phi,East R1: Penguins vs Flyers,Penguins,Flyers,Penguins,7
Eric,east_r2_upper,East R2 (Buf/Bos vs TBL/MTL winner),Buffalo,Canadiens,Canadiens,6
